county_id,year,industrial_enterprises,industrial_enterprises_yoy,industrial_added_value_yoy,fixed_asset_invest_yoy,real_estate_invest,real_estate_invest_yoy,retail_sales,retail_sales_yoy,export_total_rmb,export_total_rmb_yoy,export_total_usd,export_total_usd_yoy
NMG000001,2018,16.0,-33.3,,-1.5,,12.9,107520.0,5.2,987.0,,,
NMG000001,2019,15.0,-6.3,,13.2,13078.0,-39.5,113380.0,5.5,1044.0,5.8,,
NMG000001,2020,19.0,26.7,,9.4,31432.0,140.3,106237.0,-6.3,,,,
NMG000001,2021,21.0,10.5,,18.1,,38.4,110100.0,3.7,,,,
NMG000001,2022,25.0,19.0,,27.5,,-86.1,108447.0,-1.5,,,,
NMG000001,2023,30.0,20.0,,2.0,,12.2,117500.0,8.3,,,,
NMG000002,2018,18.0,-35.7,,37.1,,48.5,95303.0,5.3,,,,
NMG000002,2019,17.0,-5.6,,-11.6,2340.0,-5.6,100497.0,5.4,,,,
NMG000002,2020,20.0,17.6,,-15.4,17068.0,629.4,94166.0,-6.3,,,,
NMG000002,2021,30.0,50.0,,13.8,,-34.6,97500.0,3.6,,,,
NMG000002,2022,32.0,6.7,,58.4,,38.1,95800.0,-1.7,,,,
NMG000002,2023,31.0,-3.1,,60.8,,-68.3,103200.0,7.7,,,,
NMG000003,2018,12.0,0.0,,8.0,,,95538.0,5.3,,,,
NMG000003,2019,12.0,0.0,,-17.8,,14.1,100840.0,5.5,,,,
NMG000003,2020,13.0,8.3,,8.4,,,94588.0,-6.2,,,,
NMG000003,2021,18.0,38.5,,-43.5,,,97474.0,3.1,,,,
NMG000003,2022,18.0,0.0,,22.9,,,94885.0,-2.7,,,,
NMG000003,2023,18.0,0.0,,25.4,,,102600.0,8.1,,,,
NMG000004,2018,23.0,-8.0,,27.6,,34.8,189627.0,5.3,,,,
NMG000004,2019,27.0,17.4,,-6.9,12107.0,-303.6,200151.0,5.5,,,,
NMG000004,2020,28.0,3.7,,-2.8,15058.0,24.4,187742.0,-6.2,,,,
NMG000004,2021,35.0,25.0,,-5.6,,-13.5,194000.0,3.4,,,,
NMG000004,2022,40.0,14.3,,33.2,,-36.4,189900.0,-2.1,,,,
NMG000004,2023,40.0,0.0,,25.5,,-52.8,205000.0,8.0,,,,
NMG000005,2018,25.0,-32.4,,11.2,,,169847.0,5.3,,,,
NMG000005,2019,23.0,-8.0,,-33.9,29322.0,0.1,179273.0,5.5,,,,
NMG000005,2020,20.0,-13.0,,4.0,29708.0,1.3,168159.0,-6.2,,,,
NMG000005,2021,23.0,15.0,,221.7,,-43.6,173600.0,3.3,8109.0,,,
NMG000005,2022,25.0,8.7,,66.2,,-38.2,170241.0,-1.9,,,,
NMG000005,2023,27.0,8.0,,37.5,,35.4,184458.0,8.4,,,,
NMG000006,2018,12.0,0.0,,-12.5,,,108606.0,5.3,,,,
NMG000006,2019,16.0,33.3,,-123.0,7852.0,-57.0,114525.0,5.5,,,,
NMG000006,2020,21.0,31.3,,-1.0,24455.0,211.4,107310.0,-6.3,,,,
NMG000006,2021,23.0,9.5,,12.7,,-85.1,110700.0,3.2,,,,
NMG000006,2022,25.0,8.7,,77.2,,11.8,108400.0,-2.1,,,,
NMG000006,2023,24.0,-4.0,,23.0,,45.4,117000.0,7.9,,,,
NMG000007,2018,35.0,0.0,,14.4,,780.2,182978.0,5.5,,,,
NMG000007,2019,33.0,-5.7,,21.0,251323.0,311.3,193316.0,5.6,,,,
NMG000007,2020,50.0,51.5,,12.9,294989.0,17.4,181524.0,-6.1,,,,
NMG000007,2021,58.0,16.0,,-21.9,,-23.6,186056.0,2.5,,,,
NMG000007,2022,53.0,-8.6,,9.8,,27.5,180400.0,-3.0,,,,
NMG000007,2023,50.0,-5.7,,24.6,,-31.2,196900.0,9.1,,,,
NMG000008,2018,12.0,-14.3,,-12.5,,88.1,103563.0,5.3,,,,
NMG000008,2019,13.0,8.3,,-8.7,12191.0,22.2,109311.0,5.6,,,,
NMG000008,2020,22.0,69.2,,-7.7,8145.0,-33.2,102533.0,-6.2,,,,
NMG000008,2021,31.0,40.9,,15.1,,19.7,105900.0,3.3,,,,
NMG000008,2022,34.0,9.7,,41.7,,-48.4,102700.0,-3.0,,,,
NMG000008,2023,37.0,8.8,,25.3,,-80.4,112400.0,9.4,,,,
NMG000009,2018,18.0,5.9,,313.4,,-45.9,183708.0,3.6,,,,
NMG000009,2019,17.0,-5.6,,-8.6,110130.0,193.2,199470.0,8.6,,,,
NMG000009,2020,17.0,0.0,,-44.2,45097.0,-59.1,187002.0,-6.3,,,,
NMG000009,2021,18.0,5.9,,4.6,,-52.2,196351.0,5.0,,,,
NMG000009,2022,22.0,22.2,,10.2,,-38.3,195193.0,-0.6,,,,
NMG000009,2023,20.0,-9.1,,88.2,,419.0,202219.0,3.6,,,,
NMG000010,2018,17.0,0.0,,-38.3,,478.5,97882.0,3.8,104.0,-46.7,,
NMG000010,2019,17.0,0.0,,21.2,40300.0,-20.8,100503.0,2.7,83.0,-21.0,,
NMG000010,2020,14.0,-17.6,,30.9,48712.0,20.9,95577.0,-4.9,204.0,145.2,,
NMG000010,2021,15.0,7.1,,58.8,,-17.3,99591.0,4.2,10.0,-67.4,,
NMG000010,2022,16.0,6.7,,59.5,,113.7,98150.0,-1.4,,,,
NMG000010,2023,18.0,12.5,,36.4,,32.1,102923.0,4.9,,,,
NMG000011,2018,23.0,0.0,,-44.5,,946.0,180485.0,3.7,802.0,299.2,,
NMG000011,2019,20.0,-13.0,,28.0,136978.0,72.3,196001.0,8.6,7180.0,794.9,,
NMG000011,2020,24.0,20.0,,20.4,91845.0,-32.9,190121.0,-3.0,8949.0,24.6,,
NMG000011,2021,23.0,-4.2,,3.4,,155.1,199247.0,4.8,1954.0,39.0,,
NMG000011,2022,24.0,4.3,,0.7,,1.0,198100.0,-0.6,,,,
NMG000011,2023,26.0,8.3,,0.3,,-36.6,205932.0,4.0,,,,
NMG000012,2018,8.0,0.0,,17.7,,94.2,124245.0,4.1,,,,
NMG000012,2019,12.0,50.0,,37.1,6707.0,-53.6,133074.0,7.1,47.0,,,
NMG000012,2020,13.0,8.3,,26.8,42006.0,526.3,128417.0,-3.5,,,,
NMG000012,2021,14.0,7.7,,5.9,,94.3,134195.0,4.5,,,,
NMG000012,2022,16.0,14.3,,49.7,,-34.6,132435.0,-1.3,,,,
NMG000012,2023,17.0,6.3,,3.0,,33.4,138841.0,4.8,,,,
NMG000013,2018,1.0,0.0,,-50.0,,3949.6,51369.0,3.5,,,,
NMG000013,2019,1.0,0.0,,3.9,2014.0,-83.4,52838.0,2.9,23.0,,,
NMG000013,2020,2.0,100.0,,-9.3,11852.0,488.5,49139.0,-7.0,,,,
NMG000013,2021,2.0,0.0,,74.1,,-100.0,52137.0,6.1,,,,
NMG000013,2022,2.0,0.0,,62.0,,,52403.0,0.5,,,,
NMG000013,2023,1.0,-50.0,,5.1,,,55057.0,5.1,,,,
NMG000014,2018,3.0,0.0,,-3.6,,-52.2,204823.0,2.8,,,,
NMG000014,2019,3.0,0.0,,1.5,56513.0,164.9,210359.0,2.7,,,,
NMG000014,2020,3.0,-0.0,,0.2,72494.0,28.3,197107.0,-6.3,,,,
NMG000014,2021,4.0,33.3,,13.0,,48.1,181674.0,6.8,,,,
NMG000014,2022,5.0,25.0,,55.0,,-46.5,182037.0,0.2,,,,
NMG000014,2023,5.0,0.0,,16.2,,51.6,189683.0,4.2,,,,
NMG000015,2018,4.0,0.0,,-27.2,,5.6,180254.0,4.4,,,,
NMG000015,2019,6.0,50.0,,22.9,28622.0,-30.0,185296.0,2.8,,,,
NMG000015,2020,5.0,-16.7,,-10.8,17860.0,-37.6,167693.0,-9.5,,,,
NMG000015,2021,4.0,-20.0,,-18.4,,72.1,175742.0,4.8,,,,
NMG000015,2022,4.0,0.0,,14.9,,-42.7,175039.0,-0.4,,,,
NMG000015,2023,5.0,25.0,,21.6,,77.4,180991.0,3.4,,,,
NMG000016,2018,,30.0,,-69.2,,-8.0,86100.0,2.8,,,,
NMG000016,2019,17.0,,,19.1,8990.0,144.3,87822.0,2.0,,,,
NMG000016,2020,16.0,-5.9,,37.0,620.0,-93.1,81411.0,-7.3,,,,
NMG000016,2021,20.0,25.0,,8.5,,1409.7,86980.0,6.8,24.0,,,
NMG000016,2022,23.0,15.0,,98.6,,-70.1,87414.0,0.5,,,,
NMG000016,2023,26.0,13.0,,19.2,,107.4,98953.0,13.2,,,,
NMG000017,2018,16.0,-15.4,,-5.2,,-17.7,295814.0,6.1,,,,
NMG000017,2019,16.0,0.0,,4.2,115631.0,232.3,314599.0,6.4,,,,
NMG000017,2020,16.0,0.0,,-29.3,41311.0,-64.3,302329.0,-3.9,,,,
NMG000017,2021,17.0,6.3,,14.0,,189.3,320469.0,6.0,,,,
NMG000017,2022,22.0,29.4,,23.2,,-32.0,320790.0,0.1,,,,
NMG000017,2023,22.0,0.0,,22.6,,-23.8,338433.0,5.5,,,,
NMG000018,2018,33.0,46.3,,-13.0,,4.8,426127.0,5.1,882.0,,,
NMG000018,2019,21.0,-36.4,,12.9,124185.0,115.0,454891.0,6.8,276.0,389.2,,
NMG000018,2020,23.0,9.5,,68.0,133378.0,7.4,420774.0,-7.5,,,,
NMG000018,2021,25.0,8.7,,36.3,,-26.8,451659.0,7.3,,,,
NMG000018,2022,30.0,20.0,,22.7,,-13.4,460000.0,1.8,,,,
NMG000018,2023,33.0,10.0,,21.0,,89.0,487836.0,6.1,,,,
NMG000019,2018,12.0,-18.3,,-6.3,,1871.3,163828.0,4.0,,,,
NMG000019,2019,9.0,-25.0,,-7.5,47746.0,-30.9,175542.0,7.2,,,,
NMG000019,2020,8.0,-11.1,,13.2,79201.0,65.9,168520.0,-4.0,,,,
NMG000019,2021,8.0,0.0,,9.4,,23.0,179473.0,6.5,,,,
NMG000019,2022,11.0,37.5,,15.5,,-76.8,181628.0,1.2,,,,
NMG000019,2023,13.0,18.2,,4.8,,0.0,197611.0,8.8,,,,
NMG000020,2018,25.0,-32.6,,0.1,,30.2,433079.0,6.8,,,,
NMG000020,2019,22.0,-12.0,,4.6,92376.0,4.3,464910.0,7.4,,,,
NMG000020,2020,14.0,-36.4,,6.6,72136.0,-21.9,447708.0,-3.7,,,,
NMG000020,2021,17.0,21.4,,10.9,,6.3,474123.0,5.9,,,,
NMG000020,2022,20.0,17.6,,12.1,,-4.3,475545.0,0.3,,,,
NMG000020,2023,20.0,0.0,,24.4,,-41.8,508833.0,7.0,,,,
NMG000021,2018,21.0,0.0,,-12.3,,114.5,364627.0,5.5,,,,
NMG000021,2019,21.0,0.0,,4.0,79528.0,-18.5,391792.0,7.5,,,,
NMG000021,2020,20.0,-4.8,,4.3,209922.0,164.0,362016.0,-7.6,,,,
NMG000021,2021,25.0,25.0,,6.1,,-22.1,381565.0,5.4,,,,
NMG000021,2022,29.0,16.0,,-9.7,,-47.8,379657.0,-0.5,,,,
NMG000021,2023,29.0,0.0,,15.7,,-23.4,402056.0,5.9,,,,
NMG000022,2018,32.0,15.2,,13.4,,1954.2,170645.0,2.8,,,,
NMG000022,2019,29.0,-9.4,,12.7,48510.0,5.5,182164.0,6.8,,,,
NMG000022,2020,17.0,-41.4,,15.8,62153.0,28.1,171781.0,-5.7,,,,
NMG000022,2021,21.0,23.5,,-14.8,,-27.8,184836.0,7.6,,,,
NMG000022,2022,29.0,38.1,,18.4,,16.7,183542.0,-0.7,,,,
NMG000022,2023,30.0,3.4,,36.6,,-52.8,200428.0,9.2,,,,
NMG000023,2018,20.0,-51.9,,-24.8,,512.7,324258.0,4.9,1476.0,-35.1,,
NMG000023,2019,19.0,-5.0,,3.9,57902.0,42.0,342579.0,5.7,4039.0,173.6,,
NMG000023,2020,19.0,0.0,,10.3,142825.0,146.7,318598.0,-7.0,4447.0,10.1,,
NMG000023,2021,20.0,5.3,,-23.0,,-63.8,342493.0,7.5,1590.0,127.8,,
NMG000023,2022,26.0,30.0,,15.1,,-67.2,347288.0,1.4,,,,
NMG000023,2023,30.0,15.4,,15.0,,-2.2,379933.0,9.4,,,,
NMG000024,2018,10.0,-20.0,,3.5,,20.1,285502.0,5.7,,,,
NMG000024,2019,11.0,10.0,,7.1,127237.0,74.2,307628.0,7.8,,,,
NMG000024,2020,8.0,-27.3,,-39.2,41456.0,-67.4,283941.0,-7.7,,,,
NMG000024,2021,12.0,50.0,,10.7,,78.7,295299.0,4.0,2.0,-87.8,,
NMG000024,2022,15.0,25.0,,14.3,,-67.2,292641.0,-0.9,,,,
NMG000024,2023,16.0,6.7,,16.0,,209.0,311955.0,6.6,,,,
NMG000025,2018,29.0,3.6,,39.4,,22.4,275957.0,3.9,,,,
NMG000025,2019,33.0,13.8,,0.8,76453.0,54.0,284473.0,3.1,,,,
NMG000025,2020,30.0,-9.1,,-29.9,65660.0,-14.1,267119.0,-6.1,,,,
NMG000025,2021,34.0,13.3,,-36.0,,-5.8,266002.0,5.8,,,,
NMG000025,2022,37.0,8.8,,30.0,,16.7,268130.0,0.8,,,,
NMG000025,2023,39.0,5.4,,54.1,,-6.0,279928.0,4.4,,,,
NMG000026,2018,4.0,-0.0,,-62.5,,-44.9,107315.0,4.0,,,,
NMG000026,2019,9.0,125.0,,28.9,25210.0,172.1,110627.0,3.1,,,,
NMG000026,2020,7.0,-22.2,,-4.5,22597.0,-10.4,105173.0,-4.9,,,,
NMG000026,2021,8.0,14.3,,12.4,,-47.8,111000.0,5.5,,,,
NMG000026,2022,8.0,0.0,,0.1,,-75.0,111333.0,0.3,,,,
NMG000026,2023,10.0,25.0,,49.0,,500.0,115787.0,4.0,,,,
NMG000027,2018,12.0,-7.7,,-35.8,,1737.2,329935.0,3.6,,,,
NMG000027,2019,15.0,25.0,,-3.0,30136.0,33.5,340116.0,3.1,,,,
NMG000027,2020,16.0,6.7,,-18.2,18811.0,-37.6,319061.0,-6.2,,,,
NMG000027,2021,14.0,-12.5,,-39.7,,-98.9,280421.0,5.6,,,,
NMG000027,2022,15.0,7.1,,12.5,,,282383.0,0.7,,,,
NMG000027,2023,16.0,6.7,,33.3,,,292549.0,3.6,,,,
NMG000028,2018,19.0,0.0,,-38.1,,-40.5,244875.0,3.3,,,,
NMG000028,2019,23.0,21.1,,-3.3,24800.0,-30.0,252431.0,3.1,,,,
NMG000028,2020,24.0,4.3,,-22.4,35781.0,44.3,239080.0,-5.3,,,,
NMG000028,2021,27.0,12.5,,0.8,,8.4,253281.0,5.9,,,,
NMG000028,2022,29.0,7.4,,9.6,,-50.0,253787.0,0.2,,,,
NMG000028,2023,33.0,13.8,,58.3,,77.0,263431.0,3.8,,,,
NMG000029,2018,19.0,-13.6,,-2.1,,45.3,89811.0,2.2,,,,
NMG000029,2019,18.0,-5.3,,28.8,67566.0,7.5,92181.0,2.6,,,,
NMG000029,2020,15.0,-16.7,,10.6,21267.0,-68.5,85056.0,-7.7,,,,
NMG000029,2021,17.0,13.3,,15.2,,-9.9,91154.0,7.2,,,,
NMG000029,2022,18.0,5.9,,,,-37.9,88902.0,-2.5,,,,
NMG000029,2023,19.0,5.6,,9.4,,-49.7,93883.0,5.6,,,,
NMG000030,2018,24.0,0.0,,-2.8,,132.1,50438.0,3.6,,,,
NMG000030,2019,19.0,-20.8,,47.7,18534.0,60.5,52323.0,3.7,,,,
NMG000030,2020,15.0,-21.1,,27.8,4610.0,-75.1,48929.0,-6.5,,,,
NMG000030,2021,18.0,20.0,,9.1,,-25.8,52204.0,6.7,,,,
NMG000030,2022,17.0,-5.6,,,,-45.6,57390.0,9.9,,,,
NMG000030,2023,19.0,11.8,,-57.6,,75.2,60318.0,5.1,,,,
NMG000031,2018,44.0,-21.4,,-13.9,,300.0,85225.0,3.1,,,,
NMG000031,2019,31.0,-29.5,,29.0,3580.0,-91.0,87644.0,2.8,,,,
NMG000031,2020,19.0,-38.7,,20.0,,,82686.0,-5.7,,,,
NMG000031,2021,20.0,5.3,,4.0,,,87827.0,6.2,,,,
NMG000031,2022,23.0,15.0,,,,,85825.0,-2.3,,,,
NMG000031,2023,24.0,4.3,,-28.8,,,89689.0,4.5,,,,
